Schneider Electric	France
Midea Group	China
KBC Group	Belgium
McDonald's	United States
Denso	Japan
JXTG Holdings	Japan
Fresenius	Germany
BB&T	United States
Gree Electric Appliances	China
Anglo American	United Kingdom
Møller-Maersk	Denmark
E.ON	Germany
MS&AD Insurance	Japan
Huaxia Bank	China
Bristol-Myers Squibb	United States
China Resources Land	Hong Kong
Air Liquide	France
EDF	France
Baoshan Iron & Steel	China
Danaher	United States
Legal & General Group	United Kingdom
EXOR	Netherlands
Sun Life Financial	Canada
BT Group	United Kingdom
KB Financial Group	South Korea
Northrop Grumman	United States
Seven & I Holdings	Japan
HP	United States
Nike	United States
Shinhan Financial Group	South Korea
ABB	Switzerland
Diageo	United Kingdom
Bank of Beijing	China
CNP Assurances	France
Japan Tobacco	Japan
Oversea-Chinese Banking	Singapore
Indian Oil	India
Inditex	Spain
Dominion Resources	United States
Sumitomo	Japan
Occidental Petroleum	United States
Reckitt Benckiser Group	United Kingdom
CRRC	China
Cathay Financial	Taiwan
Kroger	United States
Baidu	China
Panasonic	Japan
Johnson Controls International	Ireland
Ecopetrol	Colombia
Canon	Japan
Royal Ahold Delhaize N.V.	Netherlands
Jardine Matheson	Hong Kong
Raytheon	United States
Sunac China Holdings	China
United Continental Holdings	United States
United Overseas Bank	Singapore
Nippon Steel	Japan
LyondellBasell Industries	United Kingdom
Qualcomm	United States
Safran	France
Carnival	United States
SK Holdings	South Korea
State Street	United States
Orix	Japan
Celgene	United States
American Electric	United States
PayPal	United States
EOG Resources	United States
Greenland Holdings Group	China
LafargeHolcim	Switzerland
Henkel	Germany
Posco	South Korea
Natixis	France
Mitsubishi Electric	Japan
Bridgestone	Japan
Archer Daniels Midland	United States
Sun Hung Kai Properties	Hong Kong
Toshiba	Japan
Surgutneftegas	Russia
Poste Italiane	Italy
HDFC	India
First Abu Dhabi Bank	United Arab Emirates
Mastercard	United States
Kinder Morgan	United States
New China Life Insurance	China
DNB	Norway
SunTrust Banks	United States
Danske Bank	Denmark
Discover Financial Services	United States
BCE	Canada
Canadian Natural Resources	Canada
CaixaBank	Spain
CSX	United States
Longfor Group Holdings	China
TransCanada	Canada
Bank Of Shanghai	China
Macquarie Group	Australia
Fubon Financial	Taiwan
Marubeni	Japan
Starbucks	United States
Fannie Mae	United States
Samsung Life Insurance	South Korea
Tyson Foods	United States
Becton Dickinson	United States
Automatic Data Processing	United States
Humana	United States
Standard Chartered	United Kingdom
Imperial Brands	United Kingdom
Richemont	Switzerland
Eaton	Ireland
Kering	France
Bank Rakyat Indonesia (BRI)	Indonesia
Couche Tard	Canada
Saudi Telecom	Saudi Arabia
Stryker	United States
Freddie Mac	United States
Daiwa House Industry	Japan
Heineken	Netherlands
Booking Holdings	United States
NN Group	Netherlands
Ameriprise Financial	United States
American Airlines Group	United States
Tata Consultancy Services	India
Mitsui Fudosan	Japan
Novo Nordisk	Denmark
Takeda Pharmaceutical	Japan
Maybank	Malaysia
China Merchants Shekou Industrial Zone Holdings	China
Norfolk Southern	United States
Power Construction Corporation of China	China
Michelin Group	France
EssilorLuxottica	France
Etisalat	United Arab Emirates
CRH	Ireland
Lincoln National	United States
Transneft	Russia
